,0
spacegroup,0.0035121048134861095
rho (ohm.cm),6.502326919666937e-05
S [muV/K],0.18469013277689394
PF [W/mK^2],0.0
kappa [W/mK],0.05261354951494848
sigma [S/cm],0.14208008694468138
T [K],0.1702277663212063
MagpieData minimum Number,0.003119876897813295
MagpieData maximum Number,0.002699242793647648
MagpieData range Number,0.007567801413587689
MagpieData mean Number,0.014390308647258336
MagpieData avg_dev Number,0.004232979133067889
MagpieData mode Number,0.008142996871560034
MagpieData minimum MendeleevNumber,0.010431523678044846
MagpieData maximum MendeleevNumber,0.0024230870211177052
MagpieData range MendeleevNumber,0.009005048203950634
MagpieData mean MendeleevNumber,0.01305333820938328
MagpieData avg_dev MendeleevNumber,0.003901356680712521
MagpieData mode MendeleevNumber,0.0024970368693599016
MagpieData minimum AtomicWeight,0.004262748485441906
MagpieData maximum AtomicWeight,0.00399058277404769
MagpieData range AtomicWeight,0.003942523458489985
MagpieData mean AtomicWeight,0.016913695080591484
MagpieData avg_dev AtomicWeight,0.006323772938527231
MagpieData mode AtomicWeight,0.005689924312218804
MagpieData minimum MeltingT,0.0013747896506711768
MagpieData maximum MeltingT,0.005193271679755092
MagpieData range MeltingT,0.0028972737159148813
MagpieData mean MeltingT,0.029126851016135852
MagpieData avg_dev MeltingT,0.0118158450844497
MagpieData mode MeltingT,0.002036944900155414
MagpieData minimum Column,0.0028608334261961826
MagpieData maximum Column,0.0007129269433175328
MagpieData range Column,0.0013668187634298546
MagpieData mean Column,0.0018861070147637167
MagpieData avg_dev Column,0.0026650177808219605
MagpieData mode Column,0.0015830324145495796
MagpieData minimum Row,0.0019334586943136106
MagpieData maximum Row,0.0008140354226939653
MagpieData range Row,0.001569015342321143
MagpieData mean Row,0.0022900266586011885
MagpieData avg_dev Row,0.0003276975683890576
MagpieData mode Row,0.0027921337662319707
MagpieData minimum CovalentRadius,0.002303125822972025
MagpieData maximum CovalentRadius,0.004138059192192413
MagpieData range CovalentRadius,0.005860389170523449
MagpieData mean CovalentRadius,0.005120465123569431
MagpieData avg_dev CovalentRadius,0.01316975095250036
MagpieData mode CovalentRadius,0.007588054595377406
MagpieData minimum Electronegativity,0.0012810580397193524
MagpieData maximum Electronegativity,3.532389838269208e-05
MagpieData range Electronegativity,0.0021876647351247104
MagpieData mean Electronegativity,0.001297240570852908
MagpieData avg_dev Electronegativity,0.0
MagpieData mode Electronegativity,0.00042376621632599754
MagpieData minimum NsValence,0.0014589312061761084
MagpieData maximum NsValence,0.0
MagpieData range NsValence,0.0002805882257432696
MagpieData mean NsValence,0.00035063349369415423
MagpieData avg_dev NsValence,0.0
MagpieData mode NsValence,0.0006527646559785102
MagpieData minimum NpValence,0.0019057126423483255
MagpieData maximum NpValence,0.0007622825231849276
MagpieData range NpValence,0.0015864178425402254
MagpieData mean NpValence,0.0021977121553227318
MagpieData avg_dev NpValence,0.0009562119225359233
MagpieData mode NpValence,0.002347016207601631
MagpieData minimum NdValence,0.004770535797851789
MagpieData maximum NdValence,0.001038480979084383
MagpieData range NdValence,0.0010247225458061393
MagpieData mean NdValence,0.024011737185706913
MagpieData avg_dev NdValence,0.0017177454519095381
MagpieData mode NdValence,0.005212629260355785
MagpieData minimum NfValence,0.0
MagpieData maximum NfValence,0.0015957853906980448
MagpieData range NfValence,0.00405592604506591
MagpieData mean NfValence,0.00804578970120747
MagpieData avg_dev NfValence,0.010194877254027063
MagpieData mode NfValence,6.923857580177206e-05
MagpieData minimum NValence,0.010389837387372059
MagpieData maximum NValence,0.0031271183046426743
MagpieData range NValence,0.006555040721425076
MagpieData mean NValence,0.029081293265087623
MagpieData avg_dev NValence,0.0021553854358962892
MagpieData mode NValence,0.00841201037313479
MagpieData minimum NsUnfilled,0.0
MagpieData maximum NsUnfilled,0.0005563284285393814
MagpieData range NsUnfilled,0.000577162656050682
MagpieData mean NsUnfilled,0.0
MagpieData avg_dev NsUnfilled,0.0
MagpieData mode NsUnfilled,0.0010516387362209522
MagpieData minimum NpUnfilled,0.0013743179552039525
MagpieData maximum NpUnfilled,0.0032473665628010733
MagpieData range NpUnfilled,0.0037322287415684874
MagpieData mean NpUnfilled,0.0012732369172663092
MagpieData avg_dev NpUnfilled,0.00032349312336363387
MagpieData mode NpUnfilled,0.0008599611602507537
MagpieData minimum NdUnfilled,0.0
MagpieData maximum NdUnfilled,0.0005971984049500687
MagpieData range NdUnfilled,0.0007046600129664733
MagpieData mean NdUnfilled,0.0016092124205929906
MagpieData avg_dev NdUnfilled,0.0005414935090781299
MagpieData mode NdUnfilled,0.0
MagpieData minimum NfUnfilled,0.0
MagpieData maximum NfUnfilled,0.0
MagpieData range NfUnfilled,0.0
MagpieData mean NfUnfilled,0.0
MagpieData avg_dev NfUnfilled,0.0
MagpieData mode NfUnfilled,0.0
MagpieData minimum NUnfilled,0.001344333114080336
MagpieData maximum NUnfilled,0.005977399623700821
MagpieData range NUnfilled,0.005892808140648142
MagpieData mean NUnfilled,0.0021864488837324988
MagpieData avg_dev NUnfilled,0.00019634902166333585
MagpieData mode NUnfilled,0.001581417101757257
MagpieData minimum GSvolume_pa,0.00022117301832310024
MagpieData maximum GSvolume_pa,0.004013382605242991
MagpieData range GSvolume_pa,0.00230495086082652
MagpieData mean GSvolume_pa,0.005169231682515739
MagpieData avg_dev GSvolume_pa,0.003302895983217894
MagpieData mode GSvolume_pa,0.004290317730647468
MagpieData minimum GSbandgap,0.0
MagpieData maximum GSbandgap,0.00018500643500643488
MagpieData range GSbandgap,0.0003617778938661789
MagpieData mean GSbandgap,0.0
MagpieData avg_dev GSbandgap,0.0
MagpieData mode GSbandgap,0.0
MagpieData minimum GSmagmom,0.0
MagpieData maximum GSmagmom,0.00037790272773075733
MagpieData range GSmagmom,0.0002562082370063745
MagpieData mean GSmagmom,0.0
MagpieData avg_dev GSmagmom,0.0
MagpieData mode GSmagmom,0.0
MagpieData minimum SpaceGroupNumber,0.001844419802464437
MagpieData maximum SpaceGroupNumber,0.003258589766706543
MagpieData range SpaceGroupNumber,0.0019772851331375406
MagpieData mean SpaceGroupNumber,0.003684344033043025
MagpieData avg_dev SpaceGroupNumber,0.006915361907001737
MagpieData mode SpaceGroupNumber,0.0018261878491425921
